"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"6785","p","f","s","n","f","f","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","d"
"6786","p","x","s","n","f","s","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","l"
"6787","p","x","s","n","f","f","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","d"
"6788","p","x","y","e","f","s","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","l"
"6789","p","f","s","e","f","f","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","d"
"6791","p","f","y","n","f","f","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","p"
"6792","p","x","s","e","f","s","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","l"
"6793","p","f","s","e","f","s","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"6794","p","f","y","e","f","s","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","d"
"6796","p","x","y","e","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"6797","p","f","y","n","f","f","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"6799","p","f","s","n","f","y","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","p"
"6801","p","f","s","e","f","y","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","l"
"6803","p","x","y","e","f","y","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","p"
"6804","p","f","y","e","f","f","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","l"
"6805","p","x","y","e","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","d"
"6806","p","f","y","e","f","f","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"6808","p","f","y","e","f","y","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","l"
"6813","p","x","s","e","f","f","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","p"
"6814","p","f","s","e","f","y","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","p"
"6815","p","f","s","e","f","s","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","p"
"6816","p","f","s","n","f","y","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","l"
"6817","p","f","y","e","f","f","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","d"
"6819","p","k","s","e","f","f","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","l"
"6821","p","f","y","n","f","y","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","p"
"6822","p","f","s","e","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","l"
"6823","p","f","y","e","f","y","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"6824","p","x","s","n","f","y","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","p"
"6825","p","k","y","n","f","y","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","p"
"6827","p","x","s","e","f","f","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"6828","e","x","s","g","f","n","f","w","b","w","e","b","k","s","w","w","p","w","t","p","w","n","g"
"6829","p","k","y","n","f","y","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","d"
"6831","p","f","s","n","f","s","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","p"
"6832","p","f","s","n","f","s","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","p"
"6835","p","f","y","e","f","f","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"6836","p","f","y","e","f","f","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","p"
"6838","p","f","s","e","f","f","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"6839","p","x","s","n","f","f","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","p"
"6840","p","f","s","e","f","f","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","l"
"6841","p","x","s","e","f","s","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","p"
"6843","p","f","y","e","f","f","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","p"
"6844","p","k","y","e","f","s","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"6846","p","k","y","e","f","s","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","d"
"6848","p","f","y","e","f","s","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","l"
"6849","p","f","s","e","f","f","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","l"
"6850","e","b","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","o","o","p","o","c","l"
"6855","p","f","y","n","f","f","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","p"
"6856","p","k","y","n","f","m","f","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d"
"6858","p","f","s","e","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"6863","p","f","y","n","f","y","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","d"
"6864","p","f","y","n","f","y","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"6865","p","f","s","n","f","s","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","d"
"6868","p","x","s","e","f","f","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","d"
"6869","p","f","y","n","f","f","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","p"
"6871","p","x","s","e","f","f","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","l"
"6872","p","x","s","e","f","y","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","l"
"6873","p","f","y","e","f","y","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","d"
"6874","p","x","s","n","f","y","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","d"
"6876","p","f","s","n","f","f","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","l"
"6877","p","x","s","n","f","y","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","l"
"6878","p","f","y","e","f","y","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","d"
"6881","p","f","s","e","f","f","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","p"
"6886","p","x","s","e","f","y","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","d"
"6887","p","k","y","n","f","y","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","d"
"6891","p","f","s","n","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","l"
"6893","p","x","s","e","f","f","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","p"
"6894","p","f","s","n","f","s","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","d"
"6895","p","f","y","e","f","s","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","p"
"6897","p","x","y","e","f","f","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","p"
"6899","p","x","s","n","f","y","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","d"
"6902","p","k","s","n","f","y","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","p"
"6903","p","f","s","n","f","y","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","l"
"6905","e","x","y","c","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","p"
"6907","e","k","s","g","f","n","f","w","b","w","e","b","s","k","w","w","p","w","t","p","w","n","g"
"6908","e","x","f","g","f","n","f","w","b","g","e","b","s","k","w","w","p","w","t","p","w","s","g"
"6909","p","x","s","n","f","s","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","d"
"6910","p","k","y","e","f","f","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","p"
"6911","e","x","s","n","f","n","a","c","b","o","e","b","s","s","o","o","p","n","o","p","o","c","l"
"6912","p","k","s","e","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","d"
"6913","p","b","y","y","f","n","f","w","n","y","e","c","y","y","y","y","p","y","o","e","w","c","l"
"6914","p","x","s","e","f","f","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","d"
"6917","p","k","s","e","f","s","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","p"
"6921","e","k","f","g","f","n","f","w","b","w","e","b","s","k","w","w","p","w","t","p","w","s","g"
"6922","p","k","s","n","f","s","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","p"
"6923","p","k","s","e","f","y","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","d"
"6924","p","f","s","e","f","f","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","l"
"6926","p","f","y","n","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","d"
"6927","p","f","s","n","f","y","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","p"
"6928","e","f","s","n","f","n","a","c","b","o","e","b","s","s","o","o","p","n","o","p","n","c","l"
"6929","e","x","y","p","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","p"
"6931","p","k","y","e","f","y","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","l"
"6934","p","x","y","e","f","f","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","p"
"6935","p","f","y","e","f","y","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","l"
"6938","e","x","f","w","f","n","f","w","b","p","e","b","s","s","w","w","p","w","t","p","w","s","g"
"6939","e","b","s","w","f","n","f","w","b","p","e","b","s","s","w","w","p","w","t","p","w","n","g"
"6942","e","f","y","n","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","v","p"
"6943","p","k","s","n","f","s","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","d"
"6944","p","k","s","n","f","y","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","l"
"6946","p","f","y","e","f","m","a","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d"
"6950","p","k","s","e","f","f","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"6952","p","f","y","e","f","f","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","p"
"6953","e","x","f","w","f","n","f","w","b","w","e","b","s","s","w","w","p","w","t","p","w","s","g"
"6956","p","k","s","e","f","y","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","d"
"6957","p","k","s","e","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"6958","p","k","y","n","f","s","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","l"
"6959","e","k","f","w","f","n","f","w","b","g","e","b","s","s","w","w","p","w","t","p","w","s","g"
"6961","p","k","y","n","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","l"
"6962","p","k","s","n","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"6964","p","x","s","n","f","y","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","l"
"6965","p","x","y","e","f","s","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","l"
"6966","p","f","s","e","f","y","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","p"
"6969","p","f","s","n","f","f","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"6970","p","k","y","e","f","f","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","d"
"6971","e","x","s","n","f","n","f","c","b","w","e","b","y","y","n","n","p","w","t","p","w","y","d"
"6972","p","f","s","n","f","f","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","d"
"6973","p","k","s","n","f","y","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","l"
"6975","p","x","s","n","f","s","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","p"
"6976","e","k","f","w","f","n","f","w","b","w","e","b","s","s","w","w","p","w","t","p","w","s","g"
"6977","p","f","y","e","f","f","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","d"
"6981","p","k","s","n","f","y","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"6982","p","k","s","e","f","f","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","p"
"6983","p","k","s","e","f","s","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","l"
"6984","p","x","s","e","f","f","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","d"
"6987","p","x","s","n","f","f","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","p"
"6990","e","b","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","n","o","p","n","c","l"
"6991","e","k","s","g","f","n","f","w","b","p","e","b","k","k","w","w","p","w","t","p","w","n","g"
"6992","p","k","y","e","f","m","f","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","d"
"6993","p","k","y","e","f","y","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","l"
"6994","p","f","s","e","f","y","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","d"
"6996","p","f","y","e","f","s","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","d"
"6997","p","k","y","e","f","s","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","d"
"6998","e","k","f","w","f","n","f","w","b","p","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7000","e","k","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","o","o","p","o","v","l"
"7002","p","k","y","n","f","s","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","l"
"7004","e","x","s","w","f","n","f","w","b","w","e","b","k","k","w","w","p","w","t","p","w","s","g"
"7005","e","k","s","w","f","n","f","w","b","g","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7006","e","k","s","w","f","n","f","w","b","p","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7007","p","k","s","e","f","f","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","l"
"7009","e","k","s","g","f","n","f","w","b","w","e","b","s","k","w","w","p","w","t","p","w","s","g"
"7010","e","x","f","w","f","n","f","w","b","g","e","b","s","k","w","w","p","w","t","p","w","s","g"
"7012","e","b","s","w","f","n","f","w","b","g","e","b","s","s","w","w","p","w","t","p","w","s","g"
"7014","p","f","s","n","f","f","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","p"
"7015","p","f","y","n","f","f","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","d"
"7016","e","k","s","g","f","n","f","w","b","p","e","b","s","k","w","w","p","w","t","p","w","s","g"
"7017","e","x","s","w","f","n","f","w","b","w","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7018","p","f","y","e","f","y","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","p"
"7020","e","x","f","w","f","n","f","w","b","g","e","b","k","k","w","w","p","w","t","p","w","s","g"
"7021","e","k","f","w","f","n","f","w","b","g","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7022","p","f","s","e","f","s","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","d"
"7023","e","f","s","g","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","v","p"
"7024","p","k","s","e","f","y","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","d"
"7025","p","x","s","n","f","y","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","p"
"7028","p","k","y","e","f","s","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","l"
"7030","p","x","s","n","f","s","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","d"
"7031","p","k","s","e","f","y","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","d"
"7032","p","x","s","n","f","y","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","l"
"7033","e","k","f","w","f","n","f","w","b","g","e","b","k","s","w","w","p","w","t","p","w","n","g"
"7034","e","k","s","n","f","n","a","c","b","o","e","b","s","s","o","o","p","n","o","p","n","c","l"
"7037","e","x","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","o","o","p","o","v","l"
"7038","e","x","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","o","o","p","b","v","l"
"7039","p","k","y","e","f","s","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","p"
"7040","e","k","f","w","f","n","f","w","b","p","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7041","e","x","f","g","f","n","f","w","b","g","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7046","p","f","y","e","f","y","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","p"
"7048","p","f","y","e","f","s","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","d"
"7049","p","f","y","n","f","s","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","p"
"7050","p","k","s","e","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","l"
"7051","e","k","s","g","f","n","f","w","b","w","e","b","k","k","w","w","p","w","t","p","w","s","g"
"7053","p","k","y","n","f","f","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"7060","p","x","s","e","f","s","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","p"
"7061","p","x","s","e","f","y","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","d"
"7063","p","k","y","n","f","y","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","d"
"7065","p","f","s","e","f","y","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","d"
"7066","p","x","y","n","f","m","a","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7067","p","k","s","n","f","f","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","l"
"7071","p","k","s","n","f","s","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","p"
"7072","p","k","y","e","f","y","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","d"
"7074","e","f","s","c","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","p"
"7079","p","x","s","n","f","f","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"7080","e","f","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","n","o","p","n","c","l"
"7082","p","x","y","e","f","s","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","p"
"7083","p","x","y","e","f","f","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","d"
"7086","p","x","s","e","f","y","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"7088","p","k","y","e","f","s","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","p"
"7090","e","k","f","g","f","n","f","w","b","g","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7091","e","f","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","n","o","p","n","v","l"
"7092","p","f","y","n","f","m","f","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7093","p","k","s","e","f","s","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","d"
"7098","p","k","y","n","f","y","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","l"
"7099","e","x","f","g","f","n","f","w","b","g","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7100","p","k","y","e","f","f","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","p"
"7101","p","x","y","c","f","m","a","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7103","p","k","y","e","f","s","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","l"
"7106","p","x","s","e","f","y","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","p"
"7109","p","k","y","e","f","f","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","d"
"7110","p","k","y","e","f","f","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","d"
"7111","e","b","f","w","f","n","f","w","b","w","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7112","p","k","y","n","f","m","a","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7113","p","f","y","e","f","y","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","d"
"7114","p","k","s","n","f","f","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","p"
"7115","p","k","y","n","f","f","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","p"
"7116","p","x","s","e","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"7119","p","k","y","e","f","y","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","p"
"7121","p","x","s","n","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","d"
"7122","p","k","y","n","f","y","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","d"
"7125","p","f","y","n","f","s","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","p"
"7126","p","k","s","e","f","s","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","p"
"7127","p","k","s","e","f","y","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","p"
"7128","p","f","y","e","f","f","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","l"
"7130","p","f","y","n","f","y","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","d"
"7131","p","k","y","e","f","y","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","d"
"7132","p","k","s","e","f","y","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","d"
"7133","p","k","s","e","f","f","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","l"
"7136","e","x","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","o","o","p","n","v","l"
"7137","e","x","f","g","f","n","f","w","b","p","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7138","p","k","s","e","f","y","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","d"
"7140","p","k","s","n","f","s","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","d"
"7141","p","k","s","n","f","y","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","p"
"7142","e","b","s","w","f","n","f","w","b","p","e","b","k","s","w","w","p","w","t","p","w","n","g"
"7146","p","x","y","e","f","f","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","l"
"7147","p","f","y","c","f","m","f","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7148","p","f","s","n","f","s","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","d"
"7151","p","f","y","e","f","f","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","p"
"7152","p","f","s","e","f","f","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","l"
"7155","p","x","s","e","f","y","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"7156","p","k","s","n","f","y","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","l"
"7158","p","x","s","n","f","y","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","p"
"7159","e","b","s","g","f","n","f","w","b","g","e","b","s","k","w","w","p","w","t","p","w","n","g"
"7160","p","x","s","n","f","s","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"7164","p","x","s","n","f","y","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","p"
"7165","p","f","y","e","f","y","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","p"
"7167","p","f","y","n","f","m","f","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7168","e","b","f","g","f","n","f","w","b","g","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7169","p","f","s","e","f","f","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","p"
"7171","e","k","s","g","f","n","f","w","b","p","e","b","s","k","w","w","p","w","t","p","w","n","g"
"7172","p","k","y","n","f","f","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","l"
"7175","p","k","y","n","f","f","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","l"
"7176","p","f","y","n","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"7180","p","k","s","n","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","p"
"7182","e","f","y","c","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","p"
"7183","e","f","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","n","o","p","n","c","l"
"7184","e","b","s","w","f","n","f","w","b","g","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7185","p","k","s","e","f","s","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","p"
"7186","e","b","s","g","f","n","f","w","b","w","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7187","p","k","y","e","f","y","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","p"
"7188","p","k","y","n","f","s","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","d"
"7189","e","x","s","n","f","n","a","c","b","o","e","b","s","s","o","o","p","o","o","p","y","c","l"
"7194","p","x","y","e","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","p"
"7195","p","k","s","e","f","f","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","d"
"7196","e","k","y","n","f","n","f","c","b","w","e","b","y","y","n","n","p","w","t","p","w","y","d"
"7197","p","f","s","e","f","f","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","d"
"7201","e","k","f","g","f","n","f","w","b","w","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7203","e","b","f","w","f","n","f","w","b","p","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7204","p","k","s","e","f","y","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","l"
"7206","e","k","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","o","o","p","y","c","l"
"7207","p","k","s","e","f","f","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","p"
"7208","p","k","y","n","f","f","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"7209","e","k","f","g","f","n","f","w","b","g","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7211","p","k","y","n","f","s","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"7213","p","k","y","e","f","f","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","p"
"7215","p","k","s","e","f","f","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","l"
"7217","p","k","y","n","f","s","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"7218","e","k","s","g","f","n","f","w","b","g","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7219","p","k","y","n","f","f","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","p"
"7221","e","x","s","g","f","n","f","w","b","w","e","b","s","k","w","w","p","w","t","p","w","n","g"
"7222","e","f","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","o","o","p","y","v","l"
"7223","e","k","s","g","f","n","f","w","b","g","e","b","k","s","w","w","p","w","t","p","w","n","g"
"7226","p","k","s","n","f","s","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","p"
"7227","e","x","s","g","f","n","f","w","b","p","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7228","p","k","y","e","f","s","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","p"
"7229","e","f","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","o","o","p","y","v","l"
"7230","e","k","s","w","f","n","f","w","b","w","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7232","e","b","s","g","f","n","f","w","b","g","e","b","k","k","w","w","p","w","t","p","w","s","g"
